Table,Country Name,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Exports,Australia,Exports of goods and services (% of GDP),22.1681831556551,20.7379562294817,19.0670417369508,17.1717885180982,18.2345398442686,19.8670743134475,20.1972095519184,20.1570110070534,23.0136347671101,19.7992817578298,21.4374194076014,21.4993440769616,19.9857077588126,21.0963738828485,20.0680710032927,19.272258011581,21.231183492644,21.8734041196439,24.1515391092117,24.0082830210698
Exports,Canada,Exports of goods and services (% of GDP),42.0399550909321,40.0586585930818,36.8659851985508,37.3277713060483,36.8567073235071,35.4024592168513,34.229555163977,34.3950055520687,28.5158343165743,29.1673819330319,30.6783919173107,30.3530255225878,30.3319386683867,31.7365758733408,31.8499609634443,31.5025724093362,31.4544101509781,32.3254037264858,32.3526958202565,29.6808453346886
Exports,France,Exports of goods and services (% of GDP),28.2658952021844,27.5310502579308,26.1119689746398,26.4688363216607,27.0330510418171,27.9350550901956,27.853257510199,28.1193848563025,24.8355472102672,26.7882998402738,28.4213374764194,29.2030271868495,29.3647378670492,29.666684498073,30.5926223781313,30.2475371833945,30.9486331871,31.7136672102555,31.5920554143668,27.4502276377653
Exports,Israel,Exports of goods and services (% of GDP),30.4002976473437,31.8518325779877,33.4897588522128,37.8637675568332,39.5114843542632,39.6333076683141,39.3715408031531,37.768993384928,32.5419682179758,34.1585761715727,34.7593258289757,35.3135368991532,33.2367754445811,31.8734891196806,31.1712490255778,29.9549598852839,29.2422558707299,29.8939141012579,29.2984786508394,27.6756854779656
Exports,"Korea, Rep.",Exports of goods and services (% of GDP),31.7877410482541,29.7727544096379,31.3978372633201,36.7543364487134,35.2830827957409,35.6264186161218,37.3921796905127,47.6418852095772,45.1853519113199,47.1037369107414,53.3377319003336,54.0940513351953,51.2920711097027,47.8314208662979,42.989561527711,40.1326509111205,40.9342069409884,41.7132908430894,39.2758610673609,36.359590549146
Exports,Norway,Exports of goods and services (% of GDP),44.9851535831821,40.4688823606507,39.6723098094631,41.11014734445,43.4420594110174,44.5373237369717,42.9575531295574,46.2181008986951,39.8101497225902,40.150329072743,41.6612661743411,41.2870648544023,39.8613095344032,39.7276720425482,38.5751887349717,35.9381714261875,36.7322649944946,38.2210272883516,36.640925320627,32.2103377797679
Exports,Switzerland,Exports of goods and services (% of GDP),50.2026964781874,48.5596411646909,47.7207184344473,51.2999852986173,53.8541740314548,56.6091852245621,61.5528145502156,63.1293186926904,58.009669038461,64.8376280081055,66.4499236497689,67.7773730536667,72.0682136205549,65.3372701216929,63.8289557538988,66.817725925772,66.3484902889967,67.4781861031999,66.9653936798419,64.3070318760151
Exports,United States,Exports of goods and services (% of GDP),9.70344749898923,9.131381513844,9.03565868264667,9.62875008142275,9.98205473154167,10.641386468295,11.4637901622698,12.4258473646734,10.9322206193664,12.3413608086534,13.5634671535102,13.6440493967794,13.5780743740926,13.5459593384987,12.4609931641514,11.9395387321555,12.2617381180006,12.3609892157496,11.8724701148898,10.2021257426695
Imports,Australia,Imports of goods and services (% of GDP),22.082173332428,20.7337236156046,21.1552596630846,19.857923623816,20.9480542227162,21.7207058936594,21.8393360556619,22.7070617638254,22.733121851861,20.7210488820314,20.4051316868337,21.6673910261196,21.2891913949774,21.3753685262765,21.5550374082505,21.550576819355,20.7201613801918,21.5161440003039,21.675186593329,20.2251510630871
Imports,Canada,Imports of goods and services (% of GDP),36.3042633034376,35.6483734848415,32.9741094185099,32.864648684908,32.9024256932286,32.6497052601475,32.0538645842577,32.6286028098296,29.9585575059154,31.0407395714164,31.8203468535221,32.2425234169127,31.8991362329537,32.6420862831515,34.3149411035338,33.8611121122194,33.6466506994867,34.2744821243903,33.8187894602395,31.9210782008806
Imports,France,Imports of goods and services (% of GDP),26.6934728903914,25.5409745004028,24.6858645485955,25.4561715567725,26.947655734595,28.16836935943,28.5674990728149,29.2776980294924,25.6269036398058,28.0794912416196,30.369238945981,30.499031981938,30.3993172078638,30.8121120215465,31.1590715564548,30.852605198715,32.0132141063066,32.7242853866575,32.549417775836,29.4135952484106
Imports,Israel,Imports of goods and services (% of GDP),32.7224665685867,34.6737153111774,34.2210872990312,37.7899661895852,39.6214728806267,39.455656577766,40.2431134253197,38.3287296823781,30.0557943344633,32.2817473560596,34.8970775888715,35.42222356895,31.4074330316471,30.2902296429207,28.0410510889648,28.0890266646028,27.3181280592463,29.0210438235117,27.0479404528965,23.2076915737833
